"","Date_reported","New_deaths"
"1072","2023-01-01",4
"1073","2023-01-02",1
"1074","2023-01-03",1
"1075","2023-01-04",0
"1076","2023-01-05",7
"1077","2023-01-06",4
"1078","2023-01-07",4
"1079","2023-01-08",1
"1080","2023-01-09",8
"1081","2023-01-10",9
"1082","2023-01-11",9
"1083","2023-01-12",4
"1084","2023-01-13",3
"1085","2023-01-14",0
"1086","2023-01-15",0
"1087","2023-01-16",6
"1088","2023-01-17",5
"1089","2023-01-18",4
"1090","2023-01-19",0
"1091","2023-01-20",7
"1092","2023-01-21",2
"1093","2023-01-22",0
"1094","2023-01-23",0
"1095","2023-01-24",0
"1096","2023-01-25",1
"1097","2023-01-26",3
"1098","2023-01-27",0
"1099","2023-01-28",0
"1100","2023-01-29",4
"1101","2023-01-30",2
"1102","2023-01-31",0
"1103","2023-02-01",0
"1104","2023-02-02",0
"1105","2023-02-03",1
"1106","2023-02-04",0
"1107","2023-02-05",0
"1108","2023-02-06",1
"1109","2023-02-07",2
"1110","2023-02-08",0
"1111","2023-02-09",0
"1112","2023-02-10",0
"1113","2023-02-11",4
"1114","2023-02-12",1
"1115","2023-02-13",1
"1116","2023-02-14",1
"1117","2023-02-15",1
"1118","2023-02-16",0
"1119","2023-02-17",1
"1120","2023-02-18",0
"1121","2023-02-19",1
"1122","2023-02-20",1
"1123","2023-02-21",0
"1124","2023-02-22",0
"1125","2023-02-23",0
"1126","2023-02-24",0
"1127","2023-02-25",0
"1128","2023-02-26",0
"1129","2023-02-27",0
"1130","2023-02-28",1
"1131","2023-03-01",2
"1132","2023-03-02",5
"1133","2023-03-03",0
"1134","2023-03-04",0
"1135","2023-03-05",1
"1136","2023-03-06",0
"1137","2023-03-07",0
"1138","2023-03-08",1
"1139","2023-03-09",0
"1140","2023-03-10",0
"1141","2023-03-11",0
"1142","2023-03-12",0
"1143","2023-03-13",0
"1144","2023-03-14",0
"1145","2023-03-15",0
"1146","2023-03-16",0
"1147","2023-03-17",0
"1148","2023-03-18",0
"1149","2023-03-19",0
"1150","2023-03-20",5
"1151","2023-03-21",0
"1152","2023-03-22",0
"1153","2023-03-23",0
"1154","2023-03-24",7
"1155","2023-03-25",0
"1156","2023-03-26",0
"1157","2023-03-27",0
"1158","2023-03-28",0
"1159","2023-03-29",0
"1160","2023-03-30",0
"1161","2023-03-31",0
