"","date","cases"
"1",2023-01-01,411
"2",2023-01-02,365
"3",2023-01-03,406
"4",2023-01-04,500
"5",2023-01-05,579
"6",2023-01-06,587
"7",2023-01-07,522
"8",2023-01-08,432
"9",2023-01-09,383
"10",2023-01-10,408
"11",2023-01-11,486
"12",2023-01-12,559
"13",2023-01-13,576
"14",2023-01-14,527
"15",2023-01-15,449
"16",2023-01-16,399
"17",2023-01-17,412
"18",2023-01-18,475
"19",2023-01-19,542
"20",2023-01-20,565
"21",2023-01-21,529
"22",2023-01-22,463
"23",2023-01-23,414
"24",2023-01-24,417
"25",2023-01-25,468
"26",2023-01-26,528
"27",2023-01-27,554
"28",2023-01-28,530
"29",2023-01-29,474
"30",2023-01-30,427
"31",2023-01-31,423
"32",2023-02-01,462
"33",2023-02-02,515
"34",2023-02-03,544
"35",2023-02-04,528
"36",2023-02-05,482
"37",2023-02-06,439
"38",2023-02-07,430
"39",2023-02-08,459
"40",2023-02-09,505
"41",2023-02-10,534
"42",2023-02-11,526
"43",2023-02-12,488
"44",2023-02-13,449
"45",2023-02-14,436
"46",2023-02-15,458
"47",2023-02-16,497
"48",2023-02-17,526
"49",2023-02-18,523
"50",2023-02-19,493
"51",2023-02-20,458
"52",2023-02-21,442
"53",2023-02-22,457
"54",2023-02-23,491
"55",2023-02-24,518
"56",2023-02-25,520
"57",2023-02-26,496
"58",2023-02-27,465
"59",2023-02-28,448
"60",2023-03-01,458
"61",2023-03-02,486
"62",2023-03-03,511
"63",2023-03-04,516
"64",2023-03-05,498
"65",2023-03-06,471
"66",2023-03-07,454
"67",2023-03-08,459
"68",2023-03-09,482
"69",2023-03-10,505
"70",2023-03-11,512
"71",2023-03-12,499
"72",2023-03-13,476
"73",2023-03-14,459
"74",2023-03-15,461
"75",2023-03-16,479
"76",2023-03-17,500
"77",2023-03-18,509
"78",2023-03-19,499
"79",2023-03-20,480
"80",2023-03-21,464
"81",2023-03-22,463
"82",2023-03-23,477
"83",2023-03-24,495
"84",2023-03-25,505
"85",2023-03-26,499
"86",2023-03-27,483
"87",2023-03-28,468
"88",2023-03-29,465
"89",2023-03-30,476
"90",2023-03-31,492
